


         _+=+_
      .-`  .  `-.          8888888b.  8888888b.   .d88888b.   .d8888b.
   _+`     "     `+_       888   Y88b 888   Y88b d88P" "Y88b d88P  Y88b
  \\\sssssssssssss///      888    888 888    888 888     888 Y88b.
     .ss\  *  /ss.         888   d88P 888   d88P 888     888  "Y888b.
 .+bm  .s  *  s.  md+.     8888888P"  8888888P"  888     888     "Y88b.
.hMMMMs .  *  . sMMMMh.    888        888 T88b   888     888       "888
 `\hMMMb \ | / dMMMh:      888        888  T88b  Y88b. .d88P Y88b  d88P
   -SNMNo  -  oNMNs-       888        888   T88b  "Y88888P"   "Y8888P"
     `+dMh\./dMd/
        `:yNy:`                      Powered by PROS for VEX V5
           "                Copyright (c) Purdue University ACM SIGBots
Version:        3.6.0     Platform:  V1.1.2 (b34)     Uptime:    0.000 s
Compiled:   Nov  8 2022 18:39:33     Directory:  V5/VexV5-UTG/VexV5-UTG


time,vexVelocity,filteredVelocity,rawVelocity,acceleration,emaGain,voltageOut,deltaTime,vexDeltaTime,deltaTicks
3640,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,25,20,0
3660,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3680,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3700,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3720,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3740,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3760,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3780,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3800,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3820,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3840,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3860,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3880,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3900,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3920,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3940,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3960,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3980,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4000,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4020,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4040,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4060,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4080,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4100,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4120,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4140,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4160,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4180,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4200,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4220,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4240,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4260,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4280,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4300,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4320,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4340,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4360,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4380,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4400,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4420,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4440,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4460,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4480,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4500,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4520,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4540,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4560,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4580,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4600,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4620,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4640,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4660,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4680,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4700,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4720,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4740,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4760,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4780,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4800,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4820,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4840,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4860,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4880,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4900,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4920,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4940,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4960,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
4980,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
5000,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
5020,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
5040,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
5060,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
5080,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
5100,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
5120,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
5140,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
5160,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
5180,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
5200,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
5220,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
5240,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
5260,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
5280,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
5300,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
5320,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
5340,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
